actor_id,type,name,is_part_of,datasource_id
GB ESS,city,Eshaness,GB-ZET,UNLOCODE:2022-1
DE NU3,city,Nussbaum,DE-BW,UNLOCODE:2022-1
US NKU,city,Frankton,US-IN,UNLOCODE:2022-1
CZ KOZ,city,Kozlany,CZ,UNLOCODE:2022-1
DE B8E,city,Beesenstedt,DE-ST,UNLOCODE:2022-1
LU WNS,city,Winseler (Wanseler),LU-WI,UNLOCODE:2022-1
US CM4,city,Camas,US-ID,UNLOCODE:2022-1
DE DOQ,city,Dorf Mecklenburg,DE-MV,UNLOCODE:2022-1
PA SPE,city,San Pedro del Espino,PA-10,UNLOCODE:2022-1
US JWA,city,Clearwater,US-KS,UNLOCODE:2022-1
BR GDX,city,Governador Dix-Sept Rosado,BR-RN,UNLOCODE:2022-1
PA ANT,city,Antón,PA-2,UNLOCODE:2022-1
GB CNW,city,Cornwell,GB-OXF,UNLOCODE:2022-1
FR PRC,city,Pornic,FR-44,UNLOCODE:2022-1
JP SHJ,city,Shinko,JP-20,UNLOCODE:2022-1
CI TOZ,city,Touba,CI,UNLOCODE:2022-1
US PYL,city,Perry Island,US-AK,UNLOCODE:2022-1
US INS,city,Indian Springs,US-NV,UNLOCODE:2022-1
US DEZ,city,Dewitt,US-IL,UNLOCODE:2022-1
DE USC,city,Lusche,DE-NI,UNLOCODE:2022-1
BE EBR,city,Everberg,BE-VBR,UNLOCODE:2022-1
NO FLM,city,Flem,NO-15,UNLOCODE:2022-1
ES MEL,city,Muel,ES-Z,UNLOCODE:2022-1
FR PN5,city,Péron,FR-01,UNLOCODE:2022-1
ES MQP,city,Montoro,ES,UNLOCODE:2022-1
FR LU9,city,Louargat,FR-22,UNLOCODE:2022-1
CD NKL,city,Nkolo,CD,UNLOCODE:2022-1
ZA STP,city,Steelpoort,ZA-MP,UNLOCODE:2022-1
US IAV,city,Ira,US-TX,UNLOCODE:2022-1
ZA VIR,city,Virginia,ZA-FS,UNLOCODE:2022-1
DE CHW,city,Schwanheim,DE-BW,UNLOCODE:2022-1
US LQ8,city,La Quinta,US-CA,UNLOCODE:2022-1
BR OBA,city,Pindoba,BR-AL,UNLOCODE:2022-1
FR BHM,city,Baldenheim,FR-67,UNLOCODE:2022-1
AU ATK,city,Langwarrin,AU-VIC,UNLOCODE:2022-1
RU OMS,city,Omsk,RU,UNLOCODE:2022-1
IT 9MG,city,Murisengo,IT-AL,UNLOCODE:2022-1
AR CDL,city,Candelaria,AR-N,UNLOCODE:2022-1
BY SVE,city,Svetlogorsk,BY-HO,UNLOCODE:2022-1
CZ LZC,city,Zdirec,CZ,UNLOCODE:2022-1
US MGB,city,Macungie,US-PA,UNLOCODE:2022-1
US TUA,city,Truman,US-MN,UNLOCODE:2022-1
SS BEN,city,Bentiu Town,SS-UY,UNLOCODE:2022-1
ES ACT,city,Alqueria de la Comtessa,ES-V,UNLOCODE:2022-1
FR SX3,city,Sainte-Pexine,FR-85,UNLOCODE:2022-1
SM DGN,city,Dogana,SM-09,UNLOCODE:2022-1
ES AC9,city,Arcicóllar,ES-TO,UNLOCODE:2022-1
FR GE9,city,Guewenheim,FR-68,UNLOCODE:2022-1
ZA ZBF,city,Doornfontein,ZA,UNLOCODE:2022-1
CN ZEQ,city,Zhuengadabuqi,CN-NM,UNLOCODE:2022-1
US D9E,city,Delavan,US-IL,UNLOCODE:2022-1
NE ZND,city,Zinder,NE,UNLOCODE:2022-1
BR MPO,city,Martinópolis,BR-SP,UNLOCODE:2022-1
IT BSP,city,Bosisio Parini,IT-LC,UNLOCODE:2022-1
BE TEN,city,Tervuren,BE-VBR,UNLOCODE:2022-1
DE FMR,city,Friesenheim,DE-RP,UNLOCODE:2022-1
IL NAS,city,Nahshonim,IL,UNLOCODE:2022-1
MY SMM,city,"Semporna, Sabah",MY,UNLOCODE:2022-1
IT NNR,city,Roverè Della Luna,IT-TN,UNLOCODE:2022-1
DK TRG,city,Torrig,DK-85,UNLOCODE:2022-1
DE GFI,city,Gundelfingen,DE-BW,UNLOCODE:2022-1
AU BAH,city,Ballast Head,AU-SA,UNLOCODE:2022-1
GB SHL,city,Shenfield,GB-ESS,UNLOCODE:2022-1
IN JAK,city,Jakhau,IN-GJ,UNLOCODE:2022-1
US FM3,city,Folsom,US-NJ,UNLOCODE:2022-1
FR ZBI,city,Bias,FR-40,UNLOCODE:2022-1
US EWK,city,Newton,US-KS,UNLOCODE:2022-1
PL BUO,city,Bukowiec,PL,UNLOCODE:2022-1
US QDE,city,Laclede,US-ID,UNLOCODE:2022-1
CA WLH,city,Waldheim,CA-SK,UNLOCODE:2022-1
DE ZIL,city,Zeilarn,DE-BY,UNLOCODE:2022-1
FR MPI,city,Monsempron-Libos,FR-47,UNLOCODE:2022-1
ES IGL,city,Igualada,ES,UNLOCODE:2022-1
FR CU4,city,Cusy,FR-74,UNLOCODE:2022-1
BR RHO,city,Riachão,BR-MA,UNLOCODE:2022-1
EE JUR,city,Jüri,EE-37,UNLOCODE:2022-1
US SRB,city,Saratoga,US-MN,UNLOCODE:2022-1
FR BEP,city,Brazey-en-Plaine,FR-21,UNLOCODE:2022-1
DE GRF,city,Gräfelfing,DE-BY,UNLOCODE:2022-1
GB VJL,city,Longmanhill,GB-ABD,UNLOCODE:2022-1
US HDY,city,Hadley,US-PA,UNLOCODE:2022-1
US XRN,city,Rancocas,US-NJ,UNLOCODE:2022-1
CA MKD,city,Markdale,CA-ON,UNLOCODE:2022-1
FR HBH,city,Hambach,FR-57,UNLOCODE:2022-1
SA JBI,city,Al Jubayl Industrial City,SA,UNLOCODE:2022-1
IT C6E,city,Cattolica Eraclea,IT-AG,UNLOCODE:2022-1
IT MC8,city,Macello,IT-TO,UNLOCODE:2022-1
FR QMO,city,Camors,FR-56,UNLOCODE:2022-1
RO RZV,city,Roznov,RO,UNLOCODE:2022-1
TW SHL,city,Sha-lun,TW,UNLOCODE:2022-1
CZ ONV,city,Ostrozská Nová Ves,CZ,UNLOCODE:2022-1
CH FLN,city,Flüelen,CH-UR,UNLOCODE:2022-1
US POL,city,Portland,US-MD,UNLOCODE:2022-1
DE OXR,city,Boxberg,DE-SN,UNLOCODE:2022-1
DE RHM,city,Reinheim,DE-HE,UNLOCODE:2022-1
TR AYZ,city,Ayazaga,TR-34,UNLOCODE:2022-1
GR DRS,city,Dhroserón,GR,UNLOCODE:2022-1
CG LCO,city,Lague,CG,UNLOCODE:2022-1
IT NNB,city,Bonnanaro,IT-SS,UNLOCODE:2022-1
CN QNX,city,Qianxian,CN,UNLOCODE:2022-1
US GBT,city,Gainesboro,US-TN,UNLOCODE:2022-1
DE MQB,city,Memmingerberg,DE-BY,UNLOCODE:2022-1
DE ALR,city,Altusried,DE-BY,UNLOCODE:2022-1
ZA ISB,city,Isithebe,ZA,UNLOCODE:2022-1
CA YVQ,city,Norman Wells,CA-NT,UNLOCODE:2022-1
