FR BPI,R3065548
US 7CH,R206779
CA TBY,N68681074
SI SOI,N4796779340
JP TSX,N4560115048
BR RUT,R315352
US LTA,R8473285
CA YHE,R2221185
CZ RVN,R441272
GB BAY,N29814351
FR LLI,R130544
NO SJE,N260213985
US SK4,R7660835
AU BVI,R11676756
FR 4SM,R2006260
FR UGV,R413448
MX BEJ,N2903260462
US PPU,N8152674011
FR H87,R946563
US XAV,R207031
TR KBY,R1273950
BR VCA,R362423
DE WEZ,N3028007102
US UEC,N151372912
CN ZNG,N2277868700
US ONG,R10342812
US PR2,N151513210
ES SGP,R340550
US 7RO,R128616
GB WWX,N346864433
AR PAS,R9458605
US JMZ,R13052899
US VPV,R8664953
CA YMN,R9524973
KR ANY,R2409161
DE GPV,R2405455
GB FLI,R11271182
FR TVZ,R906654
US SE7,R125758
US XEU,R137003
NG AGB,N501513868
FR HKQ,R55568
US MIF,R113808
DE HHM,R414749
CA BVB,R9186607
PH KWT,R1485548
SV SIT,R6088796
US IOQ,R132125
IT MZM,N3039757597
SI STR,N308963046
US ENV,R198968
FI FOG,R2587475
BR MAG,R2220786
DE TOY,R1184606
ES PSZ,R342776
IT ISH,R40732
US XJD,R206866
DE IGU,R1021694
SE MRH,N259871369
JP KNS,R4004838
IT BAI,N7640484298
FR VLW,R149097
MX T8P,N472257698
AR VIA,R1788821
AT KOL,R78352
FR MCJ,R1538660
BE BOU,R3407832
IN NDP,R14210219
ES MFK,R342924
FR BX2,R121716
DE UTA,R1309583
BR MVA,R296502
DE SZE,R382498
MU CPX,N2188745344
SE BBH,N256771197
FR BCZ,R2600040
ES BUS,N245784805
CH DAL,R1683064
PL RAD,R2424745
NL NSS,R2716700
NO LSD,N6236538517
FR R9E,R83681
FR VRT,R148910
US EJE,R137824
RS VH8,R6662729
FR MHF,R1165622
RU GRO,R14523057
RO CRR,N462611015
DE GKY,R2406069
DE GGT,R158028
DE HUS,R1405432
ID PUT,N1308303374
GR LEV,N275295844
PL BKW,R5403814
US WCS,R127816
MX JOC,N3369852310
CA MCD,N1699021252
FI UTT,N613635155
GB PLX,R4069940
PH TDC,N2653803339
ES REV,N1433079571
US WWF,R117499
FR ILY,R1346963
BE OBC,R3424301
US UAM,R195490
JP STA,N8347693958
BG BYA,R12629596
MX VDB,N273608461
FR VNV,R59321
DE HTX,N80353011
PT GIF,N100084476
FR GYP,R1070577
CA PDV,N308730709
US MV7,R237876
FR HRL,R192378
US PH5,R126603
FR ZZT,R145394
BE CIG,N293578191
FR ELA,R49544
US BUL,R112124
US RRF,N153442141
AR AFA,R3013409
FR J7Y,R2994933
FR B4Z,R2597283
FR 7TO,R1550630
CA YZH,R8462874
IN GWL,N568412253
DE CRA,R1432657
FR PXI,R54719
IN IXE,N245612641
FR 4MR,R2953018
US WK2,R114900
ES PDW,R344947
US 967,R119144
ZA GWD,N262706696
IT TBZ,R45989
GB NRL,N29801814
AU PNL,R6704642
US 9OH,R182111
US CG2,R184861
BE MIK,R1292908
US SHR,R252302
US CFY,R133395
FR LUY,R279384
AU OOC,R2383182
BE PUL,R3369129
US C6E,N151390038
CN AAT,R2752330
DE KHJ,R161966
FR UAZ,R73970
DE SJ3,R548055
AR VCH,N198432888
BE GDN,N686681350
