US HUS,W32975673
GB OMN,N244763476
US MB3,R169572
ES ORL,R347548
KW HWI,W431352452
FR REQ,R116509
US RAB,R110391
US WYQ,R111421
MX AME,N292749568
ES JLC,R340207
RO FGA,R10367442
SE SLL,N367185090
US PEG,R13618255
US AN4,R134976
DE WMS,R1252553
BE VLI,N747649265
DE 5SC,R538930
CO ACL,N703478371
IT GUA,R44227
US IA3,R128488
PA ETJ,R8416916
GB NY2,R7309606
FR BAM,R397010
AT KDT,N240078402
BR FOO,R314768
ID WAI,N1308640839
GR LPK,N296754056
BY PES,R14704507
US KRN,R180090
SK RKA,R2145248
FR IYB,R107369
GB ODN,R9274001
CA DES,R8389566
US DIL,N158623114
FR PQD,R3159894
US AKT,R13676429
CO PIE,R1423480
US CIC,R112158
US DWJ,R128418
FR CAN,R336356
GB HBX,N29819428
DE GDU,R535927
FR B9Y,R2091764
PT SCS,N4346025220
DE B7N,N240071635
FR S2U,R2605702
MA SFI,R5935945
FR MQN,R399335
AU EBO,R5850594
IN GAL,N1133013618
PL LYS,R2633673
AO CTI,N669003924
AT HAE,R106610
US GB4,N154151638
RU SOG,R3232600
ES RES,R1909133
DE CMS,R449938
IT AZI,R179077
RO RMI,R14779965
DE ETR,R958166
US EFG,R1216713
IT BOG,R45166
DE BRH,R941794
SE BYU,N252650382
GB HNE,R2641218
KE GAS,W210605195
ES TYP,R339875
US YZE,N151858436
IT MPG,R40278
ES VRT,R346775
FR CAZ,R296003
US C5C,N150941718
CI FRE,R10757672
IT USI,R42269
FR ETB,R102789
DE HKB,R1332896
US IJA,N158302751
FR VPU,R1241536
ZA ZE4,N262715987
US IBG,R238101
FR VBT,R2085649
GB OMK,N29974756
FR EVT,R5756894
ES TAO,N1242822559
IT XCT,R42578
DE BTZ,R70124
FR MQG,R2438949
DE KGL,R536632
NL BER,R47368
CA EGH,R7586655
SE ORV,N2226881086
US JCS,N158522440
IT SAH,R42571
AU GBY,R10627321
DE EM2,N116976406
PR CPX,N10724940581
CA ARI,R9337785
FR GXC,R88630
PL QWK,R7769769
BG GAV,R1930782
FR GDE,R71243
US N7T,R251538
FR MMY,R107694
US PJT,R3177759
ES STS,R342216
PL LKK,N31796337
FR MQZ,R168017
US GRK,R125751
PL CLA,R3018868
US EGW,R170593
RO BUL,R13137183
BR RRI,R296590
US 5SM,R194879
HN ZBN,N502874969
GB PHH,N206336763
US GLZ,R197221
JP HNA,R963797
US KLE,R141420
BR ANL,R315168
DE 6AT,R1060418
MX TIM,N3455808433
IT AVC,N63621660
FR GNR,R286321
US NNN,R112951
US WG4,R1217249
GB EBT,R2720539
RU KRN,W175379060
DE AUT,R1251070
AU ODD,R6206839
BG KAL,N273812707
DE SBL,R1226183
BR AAT,R332823
GR PEP,N265969639
US 2PM,N158492916
MG DWB,N300388620
GB BUH,N811441318
ES ISL,R2717702
IT XOS,R45527
US QMU,R12008294
AU MFC,R2530933
US WVU,R12664808
DE SBM,R1244160
US PYO,R137441
US VUC,R137530
CN WYS,R3206298
ES AB3,R342957
US NZ9,N153362104
FR L6A,R898577
BE ROE,R901849
IT MGE,N11024966728
CO SOA,R1413196
DK HAV,N8829034155
DE SJO,W766863498
AU LZR,N10795311117
US QBA,R132158
GB GCH,N27327469
GB HP2,R8117590
FR HA3,R944964
DE GFH,R1240399
US NFH,N158813664
IT ZAI,R45907
IS HVO,N201575301
FR ALV,R415205
BR PWD,R301287
US NHB,R113600
FR OLI,R107687
US MAA,R1217202
DE INU,R165440
ZA MON,N71194563
US YWI,N158344374
CH BCS,R1684283
CA LCA,N4598593032
DE HS3,R548553
CZ KTV,R442419
FR XVR,R1136123
FR LGV,R1640528
AT OFC,N240084821
DE ARE,R2387266
IT RLI,N1431086050
DK KOY,N21040321
DE TUX,R402946
BR IAJ,R314895
HU TEN,R1323526
RS NOS,R8050915
PL CH5,R1403635
BR MNZ,R325889
AU URY,R11689630
DE KDF,R2801148
HR BAS,R15936570
FR YPZ,R133297
GB ATM,R4798625
DE USA,R1397829
SK ILV,R1557317
US EDX,R6587468
US XKH,R136862
GB SRQ,N36318956
DE SEW,R2340855
FR HDO,R215401
CN BSE,R2773986
US NG8,N158523888
US 4RG,R141390
ES LGS,R342583
GB DRR,N29802097
BR YAM,R296747
US UCX,R14024057
US SKS,R187336
US KSQ,R169374
SY YBD,R11011907
IT LP4,R40475
GB SFM,R3444263
JP EGA,R1761743
FR VOY,R75359
ZA NLK,N262720848
US C8G,N141047078
FR LDY,R1050379
US HOR,R4436582
DE EPA,R452391
HU MOL,R1418153
FR PC5,R2939509
BR SSF,R362276
US DTA,R198868
FR 7BG,R955228
US MAL,R3492156
BR VLT,R362349
DE WIN,R252882
FR VLK,R151003
DE DII,R943745
GB MSG,R1274240
FR PAE,R75588
AT MOF,N240117932
HU MOH,R575366
BG DAO,N273816999
ID TKG,R11007414
ZA BTA,N262695421
FR LEN,R1175586
FR LRR,R135632
FR LSG,R139962
FR HAU,R58168
PT AIO,R5837274
BE BUR,R2251076
BE WIM,R2402391
FR OLT,R195300
US TWI,R237892
FR GYO,R135597
DE LBJ,R2407134
IE IOR,R3518820
DE FHV,R7463141
US NDS,R13584605
US CW8,R169412
ES ZHW,R342884
AU H3N,R11675900
IT EAG,N1893930114
BR OSS,R301294
NI TLN,R5743403
FR FU3,R3184982
BR TGW,R315148
SE VIS,N296517693
US CDP,N158411700
FR AYT,R117887
DE FSH,R1248579
GB MRT,R5656602
BE VDM,R2246021
US AI9,R128329
JP NOD,R2679940
NL EPS,R2714079
BR TRX,R297975
AR VDM,R6120930
PL SKN,R2873916
IT RUF,R40154
KR OKP,W476495682
US CRX,R7155475
BE MSI,W312050696
MX COP,R5999548
IT RND,R45547
US ZZC,R16146159
BR SZO,R298517
BR CLO,R297764
US MA5,R137106
DE NGL,R1457062
ES VTL,R340321
IT VIR,N1408643818
US AIX,R8890035
FR SJ2,R1066896
ES AKF,R347424
DE MDF,R162900
DE RNM,R1411925
US NSP,N158810394
CZ SKT,R439965
US TPS,N153983008
LU KKR,N71642864
GB SWK,N3001201452
IT FUI,R39541
BR RLO,R303855
US AXD,R127314
PE HCO,R1944726
ES URO,N302632673
BR FGM,R331479
GB PPG,N590698173
DE AHS,R8145951
FR V76,R3009262
AT DER,R447328
BR JEI,R315105
US YGZ,N158642381
IT TVN,R45253
US BZC,R182858
SE SDA,N744712607
AU GOO,R11674848
DE BRO,R1022832
FR SFN,R395706
GB HME,R8276638
FR AQY,R2959349
FR RWS,R2427156
FR SDJ,R148917
IT SVY,N420481735
CH BTK,N1820471471
BR DRA,R298536
US M4I,R1217301
US VJ2,N51442313
RS SRM,R1639313
US RKR,R185136
BR CTS,R336843
FR EPX,R166904
US RKJ,R170550
CA MLV,N3227445396
CH ERL,R1684305
TM SRK,W109012014
MX SUN,N3698353664
CZ PZN,R437621
ES QAG,R340918
ES BMI,R347763
BR BYL,R302643
FR VY2,R173705
US FTT,R119550
NG JBD,R3718474
KZ KKO,W250287192
ES CBO,R347283
DE HSK,R448134
US KWI,R251928
DZ QSK,R6663208
US AV2,N153715215
CA GSA,N51971628
GB ZWT,R1267881
NL WBD,R334749
US FWG,N151344792
DE BMI,R2012363
PT AHD,R6544295
DE ASB,R935834
BE IGM,R960215
IT OLT,R44819
FR BLT,R105277
RU TAV,R1354343
US IXN,R11565406
IT CTP,R42473
ES VEB,R339543
FR 8NV,R1079347
VE BLA,R14451189
RU OSW,R1398504
IT ZSD,R46460
CN MLX,R161724
CA ALF,N691144954
CH DBU,R1684291
CR CQA,R6013259
FR KS5,R75191
FR 7MI,R121594
US W9D,N150947217
ID MJT,R12553602
GB FMW,N871994444
US PDN,R127613
FR PVL,R1066767
IT FNN,R40251
AT RAB,R3876844
BR RIC,R296531
FR RCU,R269989
NL SLI,N3580096097
BE ANR,R59518
DE NN4,R1249677
NL MST,R2078292
US MDK,R176158
CA GOL,R9232757
PL DOU,N31347384
DE 73T,R1446661
CN LIU,N5773610960
NL AZG,R2721240
AU GVW,R11689695
DE UTM,R1077540
US UIZ,R134530
NL GWO,R163028
SD DOG,N75562621
CA CML,N8897104498
US KAW,R169645
IT AT5,R43590
US ACJ,R237596
FR 4VA,R1983314
AU LRP,R11675386
BE BOM,R58860
SI BR9,N134576363
FR WMB,R1144006
US TLA,W32974092
US QAO,N158567387
FR MEF,R1176967
US KNG,R127463
US NJ2,N154177421
FR AYF,R1998723
BE HDQ,R3372863
PL LGO,R1753824
CH CEX,R1684903
DE UZT,R6038567
US CV5,N150972234
IT MIA,R44925
CH SIM,R1682644
GB PAN,N29731463
US TRG,N158800687
FR DGO,R1170522
DE HKD,R8328735
FR M6R,R2776280
GB FBY,N29270420
GB MYF,N26745366
ES TAR,R339887
BR PCI,R298428
US MAC,R141181
ES VND,R345349
IT VLR,R40880
CN CHG,R3283305
IT PTN,R43895
FR L79,R2596323
FR OUF,R2930064
CZ VJE,R442167
PL OSZ,R2106899
MX ZPA,N1540740862
US QLA,R111085
CA CLT,R8271765
FR TXC,R142701
RS NOV,R9856865
FR CHC,R142182
US HTC,R114462
FR BLF,R163827
DE GUV,R1015146
DE KNN,R2792776
US RNN,R13650895
IT CHU,R46960
US YEZ,N151599579
DE NMT,R2405934
US PLL,R131601
CA BUZ,N1883225185
CZ JPY,R427530
CN YUO,N5954552003
DE ZRL,R419013
UA IFO,R2362670
GB KHN,R11657633
CZ CEK,R439255
US FJF,R130130
FR NG8,R153864
FR YHU,R390755
US WS6,N158873084
BR ELM,R314664
US HY9,N158298339
BR VFR,R301166
PL CWC,R3856201
BF KAN,N902928052
IT BZG,R45972
FR IPG,R90259
AT MSN,R945949
US CZT,R8042811
LT KDN,R1369582
FR VRE,R912199
FR BCV,R114766
PA DLG,N5706150348
NL LEN,R2713192
FR LSB,R1279487
MX AZG,N759183129
IT RET,R43308
NZ WAR,N2127324332
US WLY,R127730
FR BNE,R88598
BR SJZ,R326285
US CNT,R8322809
NZ RGO,N130022199
DE KTE,R1285575
FR HUM,R2892476
US SIZ,R14463257
SK TSA,R1859087
DE PTV,R2179208
FR LLU,R108252
BY DEM,R7448254
FR AV8,R2657945
US 4TR,N151543254
IT MRL,N317316815
FR IUT,R116681
CN LYD,R5654962
US QXO,N158226735
US XMK,R179689
RS BVS,N982732013
JP KKN,R5302157
NL MDU,R2473748
TR ASH,R1822974
FR 2TT,R570513
CA MDP,R12161181
US R6V,N158227496
CA LBP,R7716427
GB XNW,R10901136
SE TGA,N275352808
PL ETE,N31580669
CA LNP,N4944544241
JP NYO,R4137136
DE BO3,R276112
DE PP2,R1410903
DE NHC,R1186698
US LET,R193996
IT LTI,R46638
DE 48B,R3694341
FR EZG,R121862
DE 9AV,R534472
IT CU4,R46366
BR IDU,R298256
CO EJA,N306361598
AR ARG,R3669982
US NHS,N158854805
ES SPL,N824432075
DE BLI,R531653
CA YSF,R3803000
GB CDF,N738885245
AU NRA,R6322034
PA LJS,R8434080
FR L9R,R153910
SK MHC,R2386541
BR KRD,R298050
