GB RS8,R8221822
FR I9L,R107660
NL AIJ,R296874
US YTR,N151470634
PH MTP,N959785586
US EV7,R182232
CD BSU,N435856567
US VAX,R171527
US CGX,R197379
ES TDB,R342022
CL RAP,N3614027083
US XSK,R182086
CH VI2,R1685543
DE 8SC,R941616
SI ORZ,R1685735
CF BAB,N2663462884
US REU,N153575362
US G3C,N151954803
IT CSG,R45343
US ZIR,R110185
IT VOS,R10463058
RS MOL,N971106814
BR VPM,R315114
SE TK2,N250902422
AU HWY,R11689304
IT PPV,R45877
BR KDB,R362262
FR S9E,R1180175
US PS5,R6678712
GB SRK,R5312151
ES AA8,R347711
US ZBX,R141185
US NO9,R126701
ES NAL,N1243277435
NL AAN,R2720952
US KNJ,N6716349073
FR A8S,R282483
GB GVO,N448608311
BA VIT,N251286005
GB IVG,N26481505
BR AOU,R302685
AR RNG,R3265888
IT VDA,N1796684216
MA OUD,R2527998
FR SRP,R1279682
US XOR,R182435
AU YUE,R11716372
DE SSS,R3997055
HN PCH,N4059673393
US ZDG,R187334
CL MLP,R1735968
US HEO,R126049
NZ KUE,N765546400
DE ZLK,W22730278
TR BIN,R1836191
US ZIV,R133257
US DB2,R117943
US RCY,R135032
ES MSN,R340689
DE HUT,N1078643428
NL MEP,R1475812
FR GZV,R2004178
US P77,R129133
US BU5,R129014
GB BBK,R5670709
ES ZGZ,R345754
GB WO9,R1288905
ID MYR,R8225338
US Q32,R182536
GB RUM,N29282482
BR TFR,R298215
NL DOW,R2728471
US DUM,N609668724
GB HRU,N8644976246
DE DT8,R2179156
BR SCW,R242413
LV BZC,N1324593570
IT MJO,R179227
ES MRJ,R342223
BR RLS,R298055
CZ UPI,R440102
FR GZL,R88826
CA RVO,R14487720
BA STC,N448756226
CA CIR,R9692358
US UTN,R187914
US GHM,R197371
US NKA,R137643
FR LTO,R108394
DE LDR,R173847
CZ SUZ,R425180
US NIT,R239938
US CZV,R11162302
US QXA,R140579
DE WE3,N191846133
US GGI,R7151384
US ZDZ,N151466218
FR PO8,R146346
DE DE8,R1244002
FR R33,R1767703
BE NDW,R3894021
ES BTS,R342634
FR BOB,R131240
US JLL,R193859
BO IRU,R4499812
RO GEO,N422870945
CN ZSM,R11970667
IT BMG,R45418
LU PPR,N266689158
AT SPZ,R452796
FR VTI,R2143520
GB XED,N243891728
DE MWF,R418127
DE HGU,R3304354
FR AVM,R412706
PR TRJ,N10294137762
AT NKN,R111145
US ITH,R174979
CH GST,N187228808
IT ACT,N275933667
CN XHT,R2753028
US YAD,R180269
US FKS,R128922
CA YWJ,R14867564
ES LML,R343059
ES ARF,R345078
VE CHC,N5366584591
FR ZZL,R2897222
FR JYJ,R23772
LU SOL,N266200751
IT ZZN,R45244
US EMN,R126025
FR JJP,R2933684
FR BAD,R102271
