actor_id,type,name,is_part_of,datasource_id
DE SDX,city,Steindorf,DE-BY,UNLOCODE:2022-1
FR ZZN,city,Puygouzon,FR-81,UNLOCODE:2022-1
US DZA,city,Duvall,US-WA,UNLOCODE:2022-1
DE HRN,city,Haren/Ems,DE-NI,UNLOCODE:2022-1
DE 69N,city,Kosel,DE-SH,UNLOCODE:2022-1
CL CCP,city,Concepción,CL-BI,UNLOCODE:2022-1
IS FEY,city,Flatey,IS-3,UNLOCODE:2022-1
FR IME,city,Ivry-en-Montagne,FR-21,UNLOCODE:2022-1
US UPX,city,Point Lookout,US-PA,UNLOCODE:2022-1
JP ITU,city,"Itoh, Shimane",JP-32,UNLOCODE:2022-1
IT MPP,city,Mappano,IT,UNLOCODE:2022-1
BR NEW,city,Presidente Nereu,BR-SC,UNLOCODE:2022-1
SG TPG,city,Tanjong Pagar,SG,UNLOCODE:2022-1
US SRA,city,Sauk Rapids,US-MN,UNLOCODE:2022-1
GB FBU,city,Fishbourne,GB-IOW,UNLOCODE:2022-1
IN GAH,city,Godhra,IN-GJ,UNLOCODE:2022-1
US AJU,city,Asbury,US-NJ,UNLOCODE:2022-1
FR CU8,city,Cunac,FR-81,UNLOCODE:2022-1
FR ICH,city,Chiché,FR-79,UNLOCODE:2022-1
US NEK,city,Newark,US-OH,UNLOCODE:2022-1
EC RBA,city,Riobamba,EC,UNLOCODE:2022-1
US RFD,city,Rockford,US-IL,UNLOCODE:2022-1
US 2SV,city,Sciotoville,US-OH,UNLOCODE:2022-1
KI NIK,city,Nikumaroro,KI-P,UNLOCODE:2022-1
DE BTH,city,Bammental,DE-BW,UNLOCODE:2022-1
CZ VBO,city,Velké Bílovice,CZ,UNLOCODE:2022-1
IT PM4,city,Pomaro Monferrato,IT-AL,UNLOCODE:2022-1
ZA LWD,city,Newlands,ZA-WC,UNLOCODE:2022-1
NL RZG,city,Rozenburg,NL-NH,UNLOCODE:2022-1
US HWD,city,Hayward,US-CA,UNLOCODE:2022-1
US KKH,city,Kongiganak,US-AK,UNLOCODE:2022-1
FR RAY,city,Tinchebray,FR-61,UNLOCODE:2022-1
US RIT,city,Ridgeway,US-WI,UNLOCODE:2022-1
IS GJR,city,Gjogur,IS,UNLOCODE:2022-1
BR PCL,city,Princesa Isabel,BR-PB,UNLOCODE:2022-1
ZM MRB,city,Maramba,ZM,UNLOCODE:2022-1
DE ZAZ,city,Rheinzabern,DE-RP,UNLOCODE:2022-1
AT HMD,city,Hetzmannsdorf,AT-3,UNLOCODE:2022-1
US QAG,city,Algoma,US-WI,UNLOCODE:2022-1
US BXZ,city,Blairs,US-VA,UNLOCODE:2022-1
US FRV,city,Farmville,US-NC,UNLOCODE:2022-1
BR JPB,city,Japaraíba,BR-MG,UNLOCODE:2022-1
GB NDN,city,Benenden,GB-KEN,UNLOCODE:2022-1
GR NGA,city,Nigríta,GR,UNLOCODE:2022-1
DE SCJ,city,Lommatzsch,DE-SN,UNLOCODE:2022-1
IN RNR,city,Ranpar,IN-MH,UNLOCODE:2022-1
NZ CMV,city,Coromandel,NZ-WKO,UNLOCODE:2022-1
DE ZTB,city,Brachstedt,DE-ST,UNLOCODE:2022-1
FR S8G,city,Saint-Germainmont,FR-08,UNLOCODE:2022-1
BR OSA,city,Osasco,BR-SP,UNLOCODE:2022-1
EG RSU,city,Ras Sudr,EG,UNLOCODE:2022-1
GM JTB,city,MacCarthy Island (Jangjangbureh),GM-M,UNLOCODE:2022-1
FR OUQ,city,Le Briou,FR-18,UNLOCODE:2022-1
CA HBR,city,Harbour Breton,CA-NL,UNLOCODE:2022-1
FR V82,city,Vironchaux,FR-80,UNLOCODE:2022-1
GB XBY,city,Denby Dale,GB-KIR,UNLOCODE:2022-1
DE SGF,city,Sottrum,DE-NI,UNLOCODE:2022-1
JP TWA,city,Tsukinokawa,JP-42,UNLOCODE:2022-1
US XWZ,city,Winner,US-SD,UNLOCODE:2022-1
US MEI,city,Meridian,US-MS,UNLOCODE:2022-1
DE IND,city,Inden-Lamersdorf,DE-BE,UNLOCODE:2022-1
IT CPP,city,Copparo,IT,UNLOCODE:2022-1
JP UEC,city,Uechi,JP-47,UNLOCODE:2022-1
NG SKO,city,Sokoto,NG,UNLOCODE:2022-1
FI TVS,city,Tövsala (Taivassalo),FI-19,UNLOCODE:2022-1
PE AZA,city,Azángaro,PE-PUN,UNLOCODE:2022-1
BR MPS,city,Mantenópolis,BR-ES,UNLOCODE:2022-1
FR S3C,city,Saint-Cergues,FR-74,UNLOCODE:2022-1
DE ZRH,city,Zechlinerhütte,DE-BB,UNLOCODE:2022-1
PL RZJ,city,Radziejów,PL-04,UNLOCODE:2022-1
MX STR,city,Santa Rosa de Lima,MX-GUA,UNLOCODE:2022-1
PA ABN,city,"Agua Buena, Tonosi",PA-7,UNLOCODE:2022-1
FR CBM,city,La Chapelle-Basse-Mer,FR-44,UNLOCODE:2022-1
DK N3S,city,Nykobing Sjaelland,DK-85,UNLOCODE:2022-1
DE HCS,city,Höchst,DE-HE,UNLOCODE:2022-1
IN CHP,city,Champai,IN-MZ,UNLOCODE:2022-1
ES ATA,city,Artica,ES-NA,UNLOCODE:2022-1
CL LUM,city,Lumaco,CL-AR,UNLOCODE:2022-1
ES TOR,city,Torrevieja,ES,UNLOCODE:2022-1
CA SNI,city,Sarnia,CA-ON,UNLOCODE:2022-1
IT VRD,city,Verdello,IT,UNLOCODE:2022-1
FR NDO,city,Niedermodern,FR-67,UNLOCODE:2022-1
US PTR,city,Pleasant Harbour,US-AK,UNLOCODE:2022-1
FI YSE,city,Sievi,FI-14,UNLOCODE:2022-1
US SNM,city,San Marcos,US-CA,UNLOCODE:2022-1
BG CPA,city,Chepelare,BG,UNLOCODE:2022-1
GB BHP,city,Beckhampton,GB-WIL,UNLOCODE:2022-1
FR MRQ,city,Marquise,FR-62,UNLOCODE:2022-1
BR IGN,city,Igrapiúna,BR-BA,UNLOCODE:2022-1
TH KHA,city,Khanom,TH-80,UNLOCODE:2022-1
FR ZEM,city,Lavilledieu,FR-07,UNLOCODE:2022-1
US XMG,city,Maple Grove,US-MN,UNLOCODE:2022-1
IT PD2,city,San Paolo di Civitate,IT-FG,UNLOCODE:2022-1
FR SBO,city,Saint-Auban-sur-l'Ouvèze,FR-26,UNLOCODE:2022-1
US HTO,city,East Hampton,US-NY,UNLOCODE:2022-1
CH SCR,city,Speicher,CH-AR,UNLOCODE:2022-1
ID RJL,city,Rajawali,ID-SG,UNLOCODE:2022-1
BR CML,city,Coromandel,BR-MG,UNLOCODE:2022-1
FR N87,city,Nieul,FR-87,UNLOCODE:2022-1
DE LBF,city,Leubsdorf,DE-SN,UNLOCODE:2022-1
CA GYB,city,Guysborough,CA-NS,UNLOCODE:2022-1
BE GDU,city,Grez-Doiceau,BE-WBR,UNLOCODE:2022-1
GB BHL,city,Bramhall,GB-SKP,UNLOCODE:2022-1
CN DSA,city,Dasha,CN-HB,UNLOCODE:2022-1
BR HIP,city,Santo Hipólito,BR-MG,UNLOCODE:2022-1
FR HBE,city,La Houssaye-Béranger,FR-76,UNLOCODE:2022-1
IE SUL,city,Summerhill,IE-MH,UNLOCODE:2022-1
DE FBK,city,Fuldabrück,DE-HE,UNLOCODE:2022-1
DE IMR,city,Bornheim,DE-RP,UNLOCODE:2022-1
FR GUY,city,Guérigny,FR-58,UNLOCODE:2022-1
BR CZD,city,Cruzeiro do Sul,BR-PR,UNLOCODE:2022-1
IT TTM,city,Frattaminore,IT-NA,UNLOCODE:2022-1
BR LRL,city,Lagoa Real,BR-BA,UNLOCODE:2022-1
AU ZAA,city,Berowra,AU-NSW,UNLOCODE:2022-1
US WZP,city,Williamstown,US-PA,UNLOCODE:2022-1
DE ODE,city,Odenthal,DE-NW,UNLOCODE:2022-1
ES SBC,city,Sobradelo Carballeda,ES-OR,UNLOCODE:2022-1
DE 9BG,city,Bickhusen,DE-MV,UNLOCODE:2022-1
FR NYK,city,Le Ban-Saint-Martin,FR-57,UNLOCODE:2022-1
GB WIA,city,Wingate,GB-DUR,UNLOCODE:2022-1
US WAG,city,Walnut Grove,US-MS,UNLOCODE:2022-1
GB EDR,city,East Drayton,GB-NTT,UNLOCODE:2022-1
US UBG,city,Amana,US-IA,UNLOCODE:2022-1
MT MEL,city,Mellieha,MT-34,UNLOCODE:2022-1
US PRH,city,Preston,US-WA,UNLOCODE:2022-1
FR CXV,city,Châtillon-le-Roi,FR-45,UNLOCODE:2022-1
SI SEN,city,Senovo,SI-054,UNLOCODE:2022-1
US HK7,city,Hickory,US-MS,UNLOCODE:2022-1
DE WS9,city,Wintersheim,DE-RP,UNLOCODE:2022-1
FR LNB,city,Linières-Bouton,FR-49,UNLOCODE:2022-1
US YWZ,city,Wayzata,US-MN,UNLOCODE:2022-1
ZA ZEV,city,Soweto,ZA,UNLOCODE:2022-1
BR CLE,city,Cesário Lange,BR-SP,UNLOCODE:2022-1
ES ZRM,city,Zaramillo,ES-BI,UNLOCODE:2022-1
GB SIC,city,Salwick,GB-LAN,UNLOCODE:2022-1
MT BIR,city,Birkirkara,MT-04,UNLOCODE:2022-1
PL T7W,city,Tranowo Podgorne,PL-30,UNLOCODE:2022-1
DE KXE,city,Landkern,DE-RP,UNLOCODE:2022-1
PK MBD,city,Mandi Bahauddin,PK,UNLOCODE:2022-1
ES AQA,city,Altea,ES-A,UNLOCODE:2022-1
SZ 7DS,city,Sidvokodvo,SZ-MA,UNLOCODE:2022-1
BG VID,city,Vidin,BG,UNLOCODE:2022-1
DE QTZ,city,Burgkemnitz,DE-ST,UNLOCODE:2022-1
GB MDV,city,Maida Vale/London,GB-BEN,UNLOCODE:2022-1
SB BPF,city,Batuna,SB,UNLOCODE:2022-1
KE SIA,city,Siaya,KE-38,UNLOCODE:2022-1
FR LUM,city,Lumes,FR-08,UNLOCODE:2022-1
AU WQ8,city,Deloraine,AU-TAS,UNLOCODE:2022-1
RS NVS,city,Novi Sad,RS,UNLOCODE:2022-1
US QHG,city,Huger,US-SC,UNLOCODE:2022-1
UA MKS,city,Shman'kovchyki,UA-61,UNLOCODE:2022-1
SK P3L,city,Oravská Lesná,SK-ZI,UNLOCODE:2022-1
