actor_id,type,name,is_part_of,datasource_id
GB FTS,city,Frinton On Sea,GB-ESS,UNLOCODE:2022-1
US XJZ,city,Old Forge,US-PA,UNLOCODE:2022-1
DE 65C,city,Helmstorf,DE-SH,UNLOCODE:2022-1
ID TBT,city,"Tandjung Batu, Riau",ID,UNLOCODE:2022-1
PL OXP,city,Zbylitowska Gora,PL,UNLOCODE:2022-1
FR GAY,city,Gasny,FR-27,UNLOCODE:2022-1
IT SG6,city,San Jacopo al Girone,IT-FI,UNLOCODE:2022-1
SI KRM,city,Krmelj,SI-110,UNLOCODE:2022-1
US BDC,city,Bland,US-VA,UNLOCODE:2022-1
US BOQ,city,Booneville,US-AR,UNLOCODE:2022-1
CL CQQ,city,Coquimbo,CL-CO,UNLOCODE:2022-1
US TMP,city,Temple,US-PA,UNLOCODE:2022-1
AR MTC,city,Montecarlo,AR-N,UNLOCODE:2022-1
GB AYR,city,Ayr,GB-SAY,UNLOCODE:2022-1
US AXW,city,Maxwell,US-CA,UNLOCODE:2022-1
ES IZG,city,Izurdiaga,ES-NA,UNLOCODE:2022-1
FR NGV,city,Nogent-sur-Vernisson,FR-45,UNLOCODE:2022-1
TR SLE,city,Sile,TR-34,UNLOCODE:2022-1
AT KAM,city,Kammern im Liesingtal,AT-8,UNLOCODE:2022-1
AU WLN,city,Wallan,AU-VIC,UNLOCODE:2022-1
US SN8,city,Shelby Township,US-MI,UNLOCODE:2022-1
GB QLT,city,Elton,GB-CHW,UNLOCODE:2022-1
FR OTE,city,Otterswiller,FR-67,UNLOCODE:2022-1
US ZVP,city,San Tan Valley,US-AZ,UNLOCODE:2022-1
JP INS,city,Innoshima,JP-34,UNLOCODE:2022-1
IN AZK,city,Azhikkal,IN-KL,UNLOCODE:2022-1
FI TPS,city,Taipalsaari,FI-17,UNLOCODE:2022-1
CZ TIS,city,Tisnov,CZ,UNLOCODE:2022-1
HR MPD,city,Podravska Moslavina,HR,UNLOCODE:2022-1
FR ILA,city,Servon-sur-Vilaine,FR-35,UNLOCODE:2022-1
NZ ROT,city,Rotorua,NZ-BOP,UNLOCODE:2022-1
FR GYC,city,Saint-Geyrac,FR-24,UNLOCODE:2022-1
DE 4BR,city,Blaibach,DE-BY,UNLOCODE:2022-1
GB ROH,city,Roche,GB-CON,UNLOCODE:2022-1
ES VMZ,city,Villalómez,ES-BU,UNLOCODE:2022-1
US YPP,city,Prospect,US-NJ,UNLOCODE:2022-1
NL WLN,city,Wilnis,NL,UNLOCODE:2022-1
US SVB,city,Shickshinny,US-PA,UNLOCODE:2022-1
US HAY,city,Haycock,US-AK,UNLOCODE:2022-1
DE HSM,city,Heusenstamm,DE-HE,UNLOCODE:2022-1
US USJ,city,Sabinal,US-TX,UNLOCODE:2022-1
ES BK8,city,Bakio,ES-BI,UNLOCODE:2022-1
AR OES,city,San Antonio Oeste,AR-R,UNLOCODE:2022-1
US M4T,city,Matson,US-MO,UNLOCODE:2022-1
BR OED,city,Moeda,BR-MG,UNLOCODE:2022-1
CA PLA,city,Plattsville,CA-ON,UNLOCODE:2022-1
PL KPO,city,Sicienko,PL-04,UNLOCODE:2022-1
ES OU9,city,Ontur,ES-AB,UNLOCODE:2022-1
US NIX,city,Nixon,US-PA,UNLOCODE:2022-1
AU WAS,city,Salmon Gums,AU-WA,UNLOCODE:2022-1
DO NGA,city,Nigua,DO,UNLOCODE:2022-1
JP KNX,city,KinNakagusuku,JP-47,UNLOCODE:2022-1
BE MLW,city,Morlanwelz-Mariemont,BE-WHT,UNLOCODE:2022-1
FI SMA,city,Summa,FI-09,UNLOCODE:2022-1
GB LSI,city,Sumburgh,GB-ZET,UNLOCODE:2022-1
IN MLI,city,Maroli,IN-GJ,UNLOCODE:2022-1
FR IUV,city,Saint-Sauveur,FR-60,UNLOCODE:2022-1
FR XYS,city,Chignin,FR-73,UNLOCODE:2022-1
IL NZV,city,Nir Zevi,IL-M,UNLOCODE:2022-1
AU 5WA,city,Pilbara,AU-WA,UNLOCODE:2022-1
NL KSL,city,Kessel,NL,UNLOCODE:2022-1
IT MAD,city,Madignano,IT-CR,UNLOCODE:2022-1
BR AWB,city,Águia Branca,BR-ES,UNLOCODE:2022-1
GB TDN,city,Toddington,GB-BDF,UNLOCODE:2022-1
RU KNK,city,Krasnokamsk,RU-PER,UNLOCODE:2022-1
FR EST,city,Estissac,FR-10,UNLOCODE:2022-1
DE BYQ,city,Byhleguhre,DE-BB,UNLOCODE:2022-1
BR RVD,city,Rio Verde,BR-GO,UNLOCODE:2022-1
US PMQ,city,Paramount,US-CA,UNLOCODE:2022-1
IT BCS,city,Borgo Chiese,IT-TN,UNLOCODE:2022-1
GR XZX,city,Elaiokhória,GR,UNLOCODE:2022-1
JP TAO,city,Tago,JP-22,UNLOCODE:2022-1
CZ SIZ,city,Strítez,CZ,UNLOCODE:2022-1
GB BAM,city,Bingham,GB-NTT,UNLOCODE:2022-1
FR DHS,city,Delain,FR-70,UNLOCODE:2022-1
BR PHP,city,Pinheiro Preto,BR-SC,UNLOCODE:2022-1
SE SAF,city,Säffle,SE-S,UNLOCODE:2022-1
PL KRI,city,Kórnik,PL,UNLOCODE:2022-1
FR AOU,city,Allouagne,FR-62,UNLOCODE:2022-1
US DWG,city,Delaware Water Gap,US-PA,UNLOCODE:2022-1
PL FBK,city,Frombork,PL-28,UNLOCODE:2022-1
FR C49,city,Cornillé-les-Caves,FR-49,UNLOCODE:2022-1
US M7I,city,Elysian,US-MN,UNLOCODE:2022-1
FR LBL,city,Laborel,FR-26,UNLOCODE:2022-1
CN ZYG,city,Zongyang,CN-AH,UNLOCODE:2022-1
US IXR,city,Smith River,US-CA,UNLOCODE:2022-1
US ABL,city,Ambler,US-AK,UNLOCODE:2022-1
NL WKP,city,Westkapelle,NL-ZE,UNLOCODE:2022-1
SI VID,city,Videm,SI-020,UNLOCODE:2022-1
IT MT4,city,Monastir,IT-CA,UNLOCODE:2022-1
LU ELL,city,Ellange,LU,UNLOCODE:2022-1
US MGF,city,Melvindale,US-MI,UNLOCODE:2022-1
FR HRM,city,Hermes,FR-60,UNLOCODE:2022-1
DE 53W,city,Schulendorf,DE-SH,UNLOCODE:2022-1
BR JBA,city,Jaíba,BR-MG,UNLOCODE:2022-1
FR IYV,city,Montigny-lès-Vesoul,FR-70,UNLOCODE:2022-1
FR DHM,city,Duppigheim,FR-67,UNLOCODE:2022-1
BR LTT,city,Lagoa dos Três Cantos,BR-RS,UNLOCODE:2022-1
US CHW,city,Cheswold,US-DE,UNLOCODE:2022-1
ES ZBW,city,Aldea del Obispo,ES-CS,UNLOCODE:2022-1
US LJW,city,Lowell,US-WI,UNLOCODE:2022-1
FR JUH,city,Jumilhac-le-Grand,FR-24,UNLOCODE:2022-1
AU HTO,city,Hilton,AU-SA,UNLOCODE:2022-1
AR LPA,city,La Paz,AR-E,UNLOCODE:2022-1
ID MBK,city,Muara Bangkong,ID-RI,UNLOCODE:2022-1
IE DGV,city,Dungarvan,IE-KK,UNLOCODE:2022-1
FR NEO,city,Nevoy,FR-45,UNLOCODE:2022-1
US XEQ,city,Canal Winchester,US-OH,UNLOCODE:2022-1
FR SD9,city,Sourdun,FR-77,UNLOCODE:2022-1
CA KKR,city,Kinkora,CA-PE,UNLOCODE:2022-1
TR HAL,city,Halkali,TR-34,UNLOCODE:2022-1
JP SRX,city,"Shirahama, Chiba",JP-12,UNLOCODE:2022-1
FR MGF,city,Maisonsgoutte,FR-67,UNLOCODE:2022-1
DE LMU,city,Lauchhammer,DE-BB,UNLOCODE:2022-1
FR PO7,city,Prusly-sur-Ource,FR-21,UNLOCODE:2022-1
ES ZNF,city,Vecindario,ES-M,UNLOCODE:2022-1
US TBN,city,Fort Leonard Wood,US-MO,UNLOCODE:2022-1
CA DPP,city,Dieppe,CA-NB,UNLOCODE:2022-1
IT BVG,city,Bentivoglio,IT,UNLOCODE:2022-1
JP SHH,city,"Shirahama, Kagoshima",JP-46,UNLOCODE:2022-1
IT LOL,city,Castiglione Olona,IT-VA,UNLOCODE:2022-1
IT ZQL,city,Pollenza,IT-MC,UNLOCODE:2022-1
US NYJ,city,Quantico,US-MD,UNLOCODE:2022-1
CA PBR,city,Petersburg,CA-ON,UNLOCODE:2022-1
DE OSB,city,Ossenberg,DE-NW,UNLOCODE:2022-1
DE FKS,city,Falkenstein,DE-SN,UNLOCODE:2022-1
US RDC,city,Reedley,US-CA,UNLOCODE:2022-1
CH COR,city,Corcelles-près-Payerne,CH-VD,UNLOCODE:2022-1
ZA ZBN,city,Firgrove,ZA-WC,UNLOCODE:2022-1
RU OSO,city,Odintsovo,RU,UNLOCODE:2022-1
BR CGA,city,Conceição do Araguaia,BR-PA,UNLOCODE:2022-1
DZ BRK,city,Baraki,DZ-42,UNLOCODE:2022-1
