IT ARA,R44016
ES CHZ,R339648
IT PNL,R39165
US AJ7,R3077081
US IJS,N151947674
IT 2CA,N303739161
PT MMA,N325816043
GB TAY,N243596728
PL KNQ,R2913181
US 8RR,R12203545
PT PLG,R6548145
CZ CEH,R438111
US WNS,R11065522
FR HGI,R87686
FI FOR,N3715145964
PE TAG,R1986225
US RRP,R110205
UA ZUE,R3606498
FR LIS,R108057
US OTY,R132050
DK HAA,N8744758762
AR DCU,R1870715
BE EEZ,R2452846
DE OLC,R933493
BR IOT,R296765
US VCO,N154010273
FR L4M,R92045
LI ESC,R1155949
EG IYB,W312269819
BR AAN,R2731026
DE BVN,R444153
US DA5,R169521
ES PGG,R12684279
RU DVO,W45770854
BG RGL,R12999667
AT ERO,N146491555
GB RWE,N254104932
US UCZ,R112377
ES UGM,R344662
GB FDL,R4220751
AU KNI,R11688904
AT KIR,R966959
US CDN,R194146
FR DIT,R184417
MX ETM,R5605754
US EIG,N153477009
IT D99,R46565
MX OXK,R6415990
DE WTY,R958081
CA CAN,N2588339339
AU LHC,R2436065
NL DEU,R303143
HR BVO,R15866085
AR ULP,R4029200
FR HY2,R1778563
MX JRC,N472257807
US M76,R128461
IE BUY,R14571820
IT TGL,R45195
BR NCS,R334527
LU ROS,N2805917163
US XNE,R134609
ES ZJD,R339802
NO KAN,N4021759163
FI HRM,N7093351348
FR HYX,R1395264
FR BCK,R2950484
US AK4,W33105861
NL BIW,R1354534
ES VAH,N1461022219
FR BWN,R89757
BE GBQ,R11131331
GB ODO,N2152510656
CI ABO,N1596425102
TR SUR,R1236153
IT SC2,R41929
GB OYT,N99082008
BE ZSO,R1285487
US OME,W94025871
BR NZA,R362266
ID ABU,N6392146269
GR AOK,R5318962
AU BFC,R11677357
US IV2,R193846
NO TSX,N417551253
FR SBM,R411560
CA YRN,N52553720
BR GVG,R298064
BR IBB,R296691
DE BSY,R446431
PL M9Z,R2828731
ES ONS,R340960
BE SCE,R3421867
JP MRW,R963784
NL DAL,R414684
BE SLK,R4196171
FR DMH,R906641
US RYV,R187831
IN MED,N245705238
CA WLY,R2062156
BR VTE,R242334
NO VDL,N833914224
BE HUT,R11134858
GL JQA,N2051281124
